"","RowN","SiteName","SiteLocation","Prefecture","Latitude","Longitude","maxD"
"1",15726,"お仲間林遺跡","西村山郡西川町大字入間字兵助新田2677・1554-2","山形",38.4113194444444,140.05345,2.9425825318665
"2",16290,"お仲間林遺跡","西村山郡西川町入間","山形",38.4257305555556,140.081730555556,2.9425825318665
"3",21200,"シンデン遺跡","野々市市御経塚２丁目","石川",36.5486805555556,136.597719444444,0.450662849918447
"4",21201,"シンデン遺跡","野々市市御経塚","石川",36.5446194444444,136.597730555556,0.450662849918447
"5",21202,"シンデン遺跡","野々市市御経塚","石川",36.5446194444444,136.597730555556,0.450662849918447
"6",193,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"7",13884,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"8",13885,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"9",13886,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"10",13887,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"11",13888,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"12",13889,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"13",13890,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"14",13891,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"15",13892,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"16",13893,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"17",13894,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"18",13895,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"19",13896,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"20",13897,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"21",13898,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"22",13899,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"23",13900,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"24",13901,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"25",13902,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"26",13903,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"27",13904,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"28",13905,"ヲフキ遺跡","由利郡象潟町大砂川字カクチタ","秋田",39.15775,139.9072,0.507870399778511
"29",13906,"ヲフキ遺跡","由利郡象潟町大砂川字ヲフキ","秋田",39.1565805555556,139.901519444444,0.507870399778511
"30",13907,"ヲフキ遺跡","由利郡象潟町大砂川字ヲフキ","秋田",39.1565805555556,139.901519444444,0.507870399778511
"31",13908,"ヲフキ遺跡","由利郡象潟町大砂川字ヲフキ","秋田",39.1565805555556,139.901519444444,0.507870399778511
"32",25086,"一色青海遺跡","稲沢市儀長町、中島郡平和町須ヶ谷","愛知",35.2370805555556,136.759261111111,0.945704706815549
"33",25087,"一色青海遺跡","稲沢市儀長町、中島郡平和町須ヶ谷","愛知",35.2370805555556,136.759261111111,0.945704706815549
"34",25088,"一色青海遺跡","稲沢市儀長町、中島郡平和町須ヶ谷","愛知",35.2370805555556,136.759261111111,0.945704706815549
"35",25089,"一色青海遺跡","稲沢市儀長町、中島郡平和町須ヶ谷","愛知",35.2370805555556,136.759261111111,0.945704706815549
"36",25090,"一色青海遺跡","稲沢市儀長町、中島郡平和町須ヶ谷","愛知",35.2370805555556,136.759261111111,0.945704706815549
"37",25091,"一色青海遺跡","稲沢市儀長町、中島郡平和町須ヶ谷","愛知",35.2370805555556,136.759261111111,0.945704706815549
"38",25092,"一色青海遺跡","稲沢市儀長町、中島郡平和町須ヶ谷","愛知",35.2370805555556,136.759261111111,0.945704706815549
"39",25093,"一色青海遺跡","稲沢市儀長町、中島郡平和町須ヶ谷","愛知",35.2370805555556,136.759261111111,0.945704706815549
"40",25094,"一色青海遺跡","稲沢市儀長町、中島郡平和町須ヶ谷","愛知",35.2370805555556,136.759261111111,0.945704706815549
"41",25095,"一色青海遺跡","稲沢市儀長町、中島郡平和町須ヶ谷","愛知",35.2370805555556,136.759261111111,0.945704706815549
"42",25096,"一色青海遺跡","稲沢市儀長町、中島郡平和町須ヶ谷","愛知",35.2370805555556,136.759261111111,0.945704706815549
"43",25097,"一色青海遺跡","稲沢市儀長町、中島郡平和町須ヶ谷","愛知",35.2370805555556,136.759261111111,0.945704706815549
"44",25098,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"45",25099,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"46",25100,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"47",25101,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"48",25102,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"49",25103,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"50",25104,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"51",25105,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"52",25106,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"53",25107,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"54",25108,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"55",25109,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"56",25110,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"57",25111,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"58",25112,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"59",25113,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"60",25114,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"61",25115,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"62",25116,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"63",25117,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"64",25118,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"65",25119,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"66",25120,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"67",25121,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"68",25122,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"69",25123,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"70",25124,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"71",25125,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"72",25126,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"73",25127,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"74",25128,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"75",25129,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"76",25130,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"77",25131,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"78",25132,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"79",25133,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"80",25134,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"81",25135,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
"82",25136,"一色青海遺跡","稲沢市平和町須ヶ谷","愛知",35.2307611111111,136.752288888889,0.945704706815549
