"SiteLocation","Latitude.gmap","Longitude.gmap"
"曽於郡末吉町諏訪方字桐木他",31.6613684,130.9889695
"鹿児島市川上町加栗山",31.6610941,130.5584832
"川崎市麻生区万福寺",35.6055244,139.5063669
"土佐市新居上ノ村",33.4707669,133.461383
"香美郡香北町吉野字横枕572",33.6547154,133.8123666
"香美郡香北町美良布ヘイ",33.6468922,133.778885
"香美郡香北町太郎丸字口屋敷721・722",33.641313,133.7633321
"日置郡郡山町東俣字湯屋原２７３番地１番",31.6960633,130.4669092
"高松市林町",34.3010831,134.0698799
"善通寺市原田町・木徳町",34.2395344,133.8006534
"坂出市川津町弘光",34.289924,133.8462179
"高松市前田東町",34.2947521,134.1162292
"大川郡志度町鴨部",34.3142388,134.2242035
"西之表市安城上之町",30.6189684,131.0293197
"西之表市",30.7323202,130.996955
"西之表市立山植松",30.6124983,131.0463662
"西之表市安城川脇",30.6189684,131.0293197
"高松市伏石町",34.311998,134.0556095
"高松市桜町２丁目",34.3273528,134.052636
"小豆郡土庄町長浜",34.5103835,134.1862623
"小豆郡土庄町豊島礼田崎",34.4814834,134.0722578
"平塚市上吉沢",35.3413332,139.2816082
"横浜市南区山谷56他",35.4291015,139.6254456
"福岡市南区横手南町",33.5454996,130.4408098
"秦野市平沢字同明",35.3771423,139.2005539
"平塚市北金目字入谷戸1522番地２外",35.3642707,139.2816082
"三浦市三戸他",35.1735441,139.6202582
"横浜市港北区篠原町",35.503848,139.6184342
"小田原市羽根尾字中通441番1外",35.2915506,139.2296697
"小田原市本町",35.2466499,139.1588048
"横浜市磯子区杉田町",35.3797149,139.6184342
"足柄上郡大井町山田643",35.3338346,139.163655
"熊本市画図町大字重富字横塘",32.7623467,130.7297969
"熊本市御幸木部町",32.7425594,130.7049005
"京都市左京区岩倉大鷺町８９",35.0676799,135.7859087
"京都市西京区大原野上里南ノ町・大原野石見町地内",34.9473722,135.6798926
"京都市左京区北白川追分町他",35.02874,135.7846966
"宇治市妙楽他",34.8900034,135.8036566
"伊賀市川上字中縄手",34.6433847,136.1828522
"松阪市射和町字鴻ノ木他",34.5095695,136.5379276
"名取市手倉田",38.1686035,140.8712777
"名取市田高字原",38.1779148,140.8774969
"名取市愛島笠島字北台",38.1615931,140.8492146
"仙台市若林区荒井字中在家",38.2410672,140.9370062
"仙台市若林区日辺字千刈田",38.2077008,140.9225393
"流山市三輪野山",35.8686368,139.9142669
"壱岐市芦部町他",33.8021,129.762725
"壱岐市勝本町立石東触字カラカミ765-1",33.7914602,129.6966356
"佐世保市瀬戸越1丁目1571",33.2040643,129.7330495
"三島郡出雲崎町",37.5307394,138.7094055
"上越市大字稲荷",37.0706006,138.2460292
"上越市大字滝寺字下違787",37.1195888,138.2205005
"亀田町茅野山1丁目2196-6他",37.8540064,139.1005897
"新発田市金塚985-1他",38.0194311,139.3641297
"新発田市金塚985-2他",38.0194311,139.3641297
"新発田市金塚985-3他",38.0194311,139.3641297
"新発田市金塚985-4他",38.0194311,139.3641297
"新発田市金塚985-5他",38.0194311,139.3641297
"新発田市金塚985-6他",38.0194311,139.3641297
"新発田市金塚985-7他",38.0194311,139.3641297
"新発田市金塚985-8他",38.0194311,139.3641297
"新発田市金塚985-9他",38.0194311,139.3641297
"新発田市金塚985-10他",38.0194311,139.3641297
"新発田市金塚985-11他",38.0194311,139.3641297
"新発田市金塚985-12他",38.0194311,139.3641297
"北蒲原郡安田町",33.4384869,133.9811504
"胎内市黒川村",38.0597174,139.4103369
"飯田市座光寺１３７９他",35.5432167,137.8451996
"飯田市",35.51487,137.8217006
"上水内郡信濃町大字野尻８６１",36.8350308,138.1512624
"千曲市上山田字薬師堂９７他",36.4702191,138.1250245
"東筑摩郡筑北村",36.4025451,138.0117382
"下伊那郡南信濃村遠山川河床",35.3083469,137.9055699
"松本市女鳥羽2丁目",36.2412389,137.9784296
"飯田市座光寺４８０９－１他",35.5432167,137.8451996
"松本市大字神林6172-1他",36.1879192,137.9267674
"岡谷市長地",36.0959348,138.0629907
"長野市篠ノ井塩崎字浄光・北畑・山崎東",36.551212,138.1051659
"長野市松代町東寺尾",36.5815412,138.2020454
"上水内郡信濃町大字下山桑2611-6",36.8064163,138.2071583
"下伊那郡高森町",35.5515159,137.8786036
"上伊那郡中川村",35.6345535,137.946059
"橿原市曲川町",34.5123472,135.763946
"御所市大字本馬他",34.4636449,135.7538755
"桜井市箸中字大池、堤ゾエ・ヒシリ",34.5186708,135.8432263
"奈良市別所町392",34.6546004,135.9396332
"桜井市纏向",34.5453285,135.8350702
"桜井市東田１２６－２他",34.5430597,135.831512
"桜井市大字巻野内１８０番地",34.543975,135.8464936
"桜井市大福５０４",34.5165367,135.8282605
"磯城郡田原本町大字唐子および鍵",34.5703379,135.7983218
"磯城郡田原本町唐古字壱ノ坪他",34.5737562,135.7983204
"中魚沼郡津南町大字下船渡甲",37.0268155,138.6696826
"中魚沼郡津南町",37.0142594,138.6524856
"北魚沼郡広瀬村大白川",37.3539188,139.1859038
"目黒区大橋",35.6532194,139.6873087
"豊後大野市千歳町長峰",33.051792,131.6086667
"玖珠郡玖珠町大字四日市",33.303842,131.1048991
"大分市大字玉沢",33.1892008,131.5824635
"直入郡萩町",36.2634642,136.9274719
"直入郡荻町",36.2634642,136.9274719
"大分市野津町大字都原",33.0690842,131.7033927
"大分市野津",33.0359422,131.6934293
"臼杵市大字藤小野",33.0527615,131.6635281
"直入郡久住町大字仏原",33.0724158,131.3385522
"大分市小池原字米竹211番地の1",33.2370006,131.6647743
"大分市金池南1丁目1143-3",33.2298524,131.6067955
"大分市大字木上字鉾牟1番地1外235筆",33.1717378,131.5624908
"大分市大字下部",33.233692,131.631639
"直入郡久住町大字久住",33.0633419,131.2507325
"大分市大字市字大坪１番１他",33.1869393,131.5737264
"大分市東大道１丁目２５１２－１他",33.2320298,131.6043004
"玖珠市九重町松木",33.2767158,131.23064
"佐伯市直川大字上直見",32.9036704,131.7954683
"岡山市灘崎町彦崎2994ほか",34.5495919,133.8358515
"岡山市東区犬島6番",34.5631196,134.1019726
"総社市奥坂他",34.7353653,133.7669217
"倉敷市船穂町船穂涼松6292",34.5859906,133.6998731
"赤磐市南方",34.7486036,134.0377657
"岡山市北区国体町３",34.6734168,133.9199794
"岡山市",34.6555312,133.919795
"岡山市北区岡山市川入",34.6573903,133.8458252
"岡山市北区伊福町",34.6726744,133.9138663
"岡山市中区原尾島",34.6688996,133.952023
"岡山市高松田中",34.6995046,133.7944329
"岡山市沢田",34.6657602,133.9639408
"津山市領家",35.0606797,133.9126734
"真庭郡久世町中原",35.0881374,133.7381978
"岡山市北区井福町４丁目８－１２他",34.8117311,133.9055155
"国頭郡今帰仁村今泊５１０１番地",26.6924609,127.92806
"瀬戸内市黄島",34.5984915,134.1951575
"総社市南溝手",34.6812988,133.7800811
"うるま市勝連津堅",26.2543708,127.9440243
"国頭郡宜野座村前原",26.4817032,127.9755719
"名護市字済井出1285",26.6722571,128.0181686
"国頭郡今帰仁村運天",26.687243,127.9983164
"田村郡小野町",37.2869196,140.6262529
"茨木市",34.8163589,135.5685016
"東大阪市池島町地内",34.6487783,135.6302408
"東大阪市若江西新町３丁目２０番地",34.6561931,135.5965781
"東大阪市若江南町５丁目他",34.6517084,135.5989396
"八尾市美園町１～４丁目",34.6413237,135.5909242
"八尾市南亀井町",34.6158249,135.5765101
"東大阪市新上小阪",34.6506897,135.5918555
"交野市向井田一丁目",34.7847007,135.6852155
"交野市私部西５丁目",34.7809731,135.672205
"八尾市若林３丁目",34.5934799,135.581252
"寝屋川市・四条畷市",34.7400792,135.6401132
"東大阪市長堂１丁目地内",34.6666417,135.5635294
"東大阪市水走２丁目１６－１",34.6798601,135.6264932
"東大阪市瓜生堂・若江西新町",34.6559069,135.5971685
"八尾市空港1丁目地内",34.5986941,135.6095548
"八尾市久宝寺町他",34.6276697,135.5878302
"平野区瓜破東１丁目他",34.6071719,135.5576302
"高槻市八丁畷・高垣町",34.8586785,135.6379216
"高槻市芝生町",34.827033,135.6113395
"高槻市",34.846193,135.6174134
"射水市南太閤山",36.6960869,137.0909063
"銚子市",35.7340035,140.8267464
"西伯郡伯耆町坂長字大清水２２６０番地",35.3783289,133.3946078
"茂原市国府関字ソトワド",35.4483246,140.252778
"朝霞市東弁財",35.8123115,139.5859382
"唐津市浜玉町大江",33.4453452,130.0498523
"唐津市原字溜ノ内・西ノ畑",33.4212505,129.9979153
"富士見市大字水子2045",35.8415065,139.5661944
"大宮市寿能町2丁目",35.9200297,139.6388331
"新座市大和田",35.8124514,139.5509135
"志木市幸町2・3・4丁目",35.8249776,139.5682106
"藤沢市遠藤",35.390529,139.4313508
"大津市晴嵐沖",34.9826641,135.9003555
"滋賀県",35.3292014,136.0563212
"蒲生郡安土町下豊浦",35.1496159,136.1310414
"守山市赤野井町・杉江町",35.0797656,135.9602683
"米原市入江",35.309804,136.2737754
"守山市下之郷町",35.0651793,135.9830606
"守山市",35.0590033,135.9943759
"守山市今宿町ホロノキ",35.0536503,135.9815727
"宇治市妙楽55",34.8898522,135.803249
"城崎郡竹野町須谷",35.6357348,134.750745
"松江市西川津町1060",35.4867615,133.0685489
"出雲市上塩治町1684他",35.3465795,132.7711147
"出雲市矢野町71６",35.380664,132.7393724
"雲南市木次町",35.2885246,132.9064095
"八束郡鹿島町大字南講武字堀部752-1他",35.5170891,133.0316339
"飯石郡頓原町",35.0888342,132.8150332
"松江市西川津町",35.4798865,133.075329
"出雲市中野町",35.3786393,132.7723351
"出雲市西林木町",35.4083264,132.7686737
"雲南市加茂町神原",35.3415056,132.8905826
"出雲市東林木町",35.4052411,132.7808776
"飯石郡飯南町志津見",35.1331883,132.7027225
"島根県飯石郡頓原町角井",35.0888342,132.8150332
"松江市乃木福富町　ほか",35.4411602,133.0413472
"松江市大井町山津",35.465056,133.1189865
"出雲市大津町町北",35.3692111,132.759824
"清水市清水区宮加三字天王台７１６－１",34.9803336,138.4812248
"桶川市赤堀",36.0288923,139.5713928
"浜松市中区南伊場町・南区若林町",34.6955037,137.7077095
"浜松市中区蜆塚四丁目22-1",NA,NA
"沼津市平沼929-1",35.1491737,138.7813224
"小山市梁",36.3230377,139.8880107
"下野市薬師寺字稲荷台",36.400176,139.8700862
"日野市上田･宮",35.6695102,139.4074473
"徳島市蔵本町２－５０－１他",34.0758459,134.5187746
"那賀郡那賀町古屋",33.7934483,134.3591239
"中野区江古田",35.7265495,139.6643416
"徳島市国府町矢野",34.0610198,134.4736228
"国分寺市西元町",35.6918993,139.470754
"町田市小山町字田端",35.6007841,139.3634052
"日野市神明3丁目3番1および2号",35.6732873,139.3924986
"東村山市多摩湖町4丁目3・4番地ほか",35.7665703,139.4512015
"保谷市東伏見3-9",35.7257278,139.5642841
"武蔵野市御殿山",35.7010109,139.5725626
"町田市木曽町2276番地",35.561063,139.4297625
"町田市根岸町23号",35.577671,139.4078486
"中野区新井三丁目",35.7148902,139.6624281
"中野区",35.7075331,139.6637591
"台東区駒形1-4",35.7069626,139.7944466
"唐津市大字原字梅白",33.4500971,129.9682676
"村山市大字富並字宮の前",38.5395214,140.3444578
"酒田市大字生石字登路田",38.920404,139.9330628
"山形市大字青柳字北柳",38.3013316,140.3492707
"寒河江市大字寒河江字高瀬山",38.3631737,140.2705616
"飽海郡遊佐町吹浦字七曲七曲堰東柴燈林",39.0907587,140.0055829
"天童市大字高擶字砂子田",38.336893,140.3298144
"鶴岡市大字中山字西向",38.7271972,139.8267422
"東根市大字東根字本丸ほか",38.4418955,140.4089368
"最上郡鮭川村大字京塚字小反704",38.8258948,140.2683651
"山形市鉄砲町若葉町",38.2378587,140.3327354
"南巨摩郡南部町中野字寺前地内",35.3079006,138.4462495
"甲府市下曽根町",35.5963034,138.5812763
"韮崎市円野町上円井石之坪",35.7640146,138.3863436
"東八代郡境川村小山",36.3146653,139.8001493
"南都留郡富士河口湖町",35.4973138,138.7551994
"東八代郡中道町",32.5083376,130.6018162
"北巨摩郡武川村",NA,NA
"甲州市勝沼町下岩崎２０８９番地他",35.6532443,138.7188678
"山梨市大野",35.6723683,138.6764928
"北巨摩郡高根町",35.9174542,138.4337638
"仙北郡神岡町北楢岡字茨野16-1",39.4248192,140.6170449
"北秋田市森吉字漆下",40.0372637,140.6128155
"北秋田市森吉字向様田家ノ下モ8外",40.0372637,140.6128155
"上北郡野辺地町字蟹田",40.9017008,141.1898796
"青森市大字安田字近野",40.8064576,140.7065764
"八戸市大字妙字油久保",40.4895103,141.5303726
"八戸市大字田向字毘沙門平",40.494234,141.509252
"八戸市尻内町字下毛合清水",40.5400722,141.4329775
"気高郡青谷町",34.6750189,135.516357
"双葉郡楢葉町上小塙字馬場前他",37.2694485,140.9859254
"佐倉市井野字長割",35.7295589,140.1474793
"四街道市成山字腰巻",35.6636359,140.2102802
"印旛郡酒々井町墨字小谷",35.7124477,140.2785486
"国分市川内字田吹鍋迫堂ヶ尾・駒迫十文字",NA,NA
"南九州市川辺町永田",31.3909949,130.3726421
"鹿児島市魚見町103番の1",31.5385272,130.5273776
"南さつま市金峰町",31.396212,130.324722
"京都郡刈田町大字白川字葛川",33.7479597,130.9473283
"対馬市峰町吉田古河1015他",34.45181,129.3122412
"福岡市博多区博多駅南4丁目11−35他",33.5810524,130.4288685
"福岡市博多区那珂4丁目297番地",33.5709397,130.44463
"福岡市西区姪浜2.3丁目",33.5877738,130.3254519
"福岡市早良区藤崎1丁目",33.5796241,130.3477763
"日田市",33.3206146,130.9404064
"佐賀市富士町大字関谷",33.4140283,130.2322362
"佐賀市富士町大字大野大字下無津呂",33.4441275,130.209229
"丹生郡越前町栃川",35.9941394,136.1285475
"今立郡池田町",35.8911147,136.3439223
"渋川市",36.489471,139.000443
"揖斐郡揖斐川町塚字塚奥山",35.7563035,136.3912683
"勢多郡富士見村",NA,NA
"安中市",36.3262928,138.8873823
"安中市中野谷字天神林･砂押･大道南･向原",36.2870819,138.8573491
"勢多郡新里村武井内出東",35.7207611,139.3389605
"南会津郡下郷町南倉沢字稲干場",37.21414,139.9315639
"郡山市西田町鬼生田字石畑",37.466974,140.411439
"郡山市西田町鬼生田字町",37.459397,140.4250022
"郡山市",37.4004776,140.3596822
"石川郡玉川村大字蒜生字栗木内",37.2053028,140.4120848
"北上市立花1−8　22−1",39.2820753,141.1495702
"金沢市上安原",36.5666147,136.589082
"綾瀬市早川",35.440715,139.4135645
"藤沢市江の島",35.2990992,139.4809269
"三浦市三崎町小網代字戸張",35.1607637,139.6324577
"天草郡五和町大字御領字浜田",32.4877729,130.0735616
"鹿児島郡十島村中之島",29.8569908,129.8681983
"小田原市中里",35.2832146,139.1866342
"塩谷郡栗山村湯西川字井戸沢",36.9799529,139.5891233
"大和市つきみ野",35.5092943,139.455498
"横浜市都筑区",35.5465011,139.5789316
"東蒲原郡阿賀町神谷丙",37.4793247,139.3351112
"双葉郡富岡町大字上郡山字前山",37.320198,140.992769
"胎内市黒川村熱田坂",38.0185885,139.4979593
"茅野市北山芹ヶ沢",36.0307922,138.2269142
"須賀川市浜尾字高木",37.2929327,140.4017528
"中魚沼郡津南町大字中深見丁",36.9944967,138.6875662
"中魚沼郡津南町正面",37.0225467,138.659551
"上伊那郡箕輪町大字東箕輪769番地3",35.9205002,137.9974094
"上伊那郡箕輪町大字東箕輪769番地4",35.9200448,137.997197
"上伊那郡箕輪町大字東箕輪769番地5",35.9200448,137.997197
"上伊那郡箕輪町",35.9150744,137.9819077
"東大阪市上四条町1716−1の一部",34.6606046,135.6609715
"東大阪市上四条町1716−2の一部",34.6606046,135.6609715
